epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.548,1.30656,0.84511,0.94418,0.62139,0.48971,0.52573,0.32013,1.34832,1.11361,0.99582,0.0670623,0.000332704,0.000332704
2,273.196,1.28649,0.81214,0.9393,0.66107,0.53829,0.57313,0.35626,1.30702,0.97601,0.97629,0.0340559,0.00065971,0.00065971
3,406.007,1.28626,0.81112,0.93654,0.59694,0.57649,0.57188,0.35304,1.30854,0.95941,0.97427,0.00104328,0.000980383,0.000980383
4,537.509,1.28833,0.80638,0.93783,0.65014,0.57685,0.58826,0.36498,1.29246,0.92635,0.97624,0.0009715,0.0009715,0.0009715
5,668.688,1.28397,0.80031,0.93564,0.71083,0.53949,0.56199,0.34644,1.31128,0.97353,0.98015,0.000962,0.000962,0.000962
6,805.676,1.27974,0.79526,0.93429,0.67837,0.5504,0.5789,0.35772,1.30612,0.94325,0.9752,0.0009525,0.0009525,0.0009525
7,937.304,1.27983,0.79689,0.934,0.67485,0.54543,0.5769,0.3574,1.31128,0.96775,0.9783,0.000943,0.000943,0.000943
8,1073.81,1.2874,0.79591,0.93772,0.57928,0.56914,0.58385,0.36008,1.30919,0.9348,0.98077,0.0009335,0.0009335,0.0009335
9,1205.37,1.28628,0.80012,0.93749,0.65384,0.57051,0.58878,0.36678,1.2896,0.94119,0.97209,0.000924,0.000924,0.000924
10,1340.42,1.2804,0.79427,0.9359,0.64862,0.56605,0.58513,0.36355,1.29051,0.93257,0.976,0.0009145,0.0009145,0.0009145
11,1471.87,1.28565,0.79573,0.93678,0.63279,0.57957,0.57577,0.35073,1.31161,0.95325,0.98166,0.000905,0.000905,0.000905
12,1602.93,1.27864,0.79563,0.93658,0.67229,0.54244,0.57002,0.35271,1.31223,0.95571,0.97695,0.0008955,0.0008955,0.0008955
13,1733.94,1.27928,0.79153,0.93581,0.63459,0.57646,0.57411,0.36121,1.29918,0.93981,0.9729,0.000886,0.000886,0.000886
14,1865.32,1.28053,0.79347,0.93714,0.57901,0.58382,0.58212,0.36358,1.29125,0.9386,0.96665,0.0008765,0.0008765,0.0008765
15,1997.03,1.28016,0.78975,0.93437,0.64439,0.57528,0.58656,0.36723,1.29126,0.94463,0.96973,0.000867,0.000867,0.000867
16,2129.31,1.27938,0.78864,0.93563,0.70078,0.55668,0.58731,0.36227,1.30324,0.94131,0.97744,0.0008575,0.0008575,0.0008575
17,2261.24,1.27662,0.78658,0.93663,0.64475,0.57321,0.58524,0.36654,1.29123,0.93693,0.97135,0.000848,0.000848,0.000848
18,2392.78,1.27447,0.78414,0.93328,0.64526,0.57432,0.59592,0.37281,1.28973,0.9042,0.97129,0.0008385,0.0008385,0.0008385
19,2524.2,1.27736,0.78884,0.93371,0.61379,0.59285,0.5838,0.36236,1.29497,0.92649,0.97429,0.000829,0.000829,0.000829
20,2655.93,1.2749,0.78525,0.93569,0.71458,0.56261,0.58792,0.36789,1.29467,0.92093,0.97407,0.0008195,0.0008195,0.0008195
21,2787.06,1.27202,0.78864,0.93375,0.63496,0.57463,0.58414,0.36596,1.28739,0.92987,0.96893,0.00081,0.00081,0.00081
22,2928.77,1.27467,0.78113,0.93383,0.65211,0.57652,0.58625,0.36657,1.29319,0.92937,0.97173,0.0008005,0.0008005,0.0008005
23,3060.9,1.26817,0.78064,0.9326,0.61072,0.56405,0.57639,0.36214,1.28309,0.92353,0.96612,0.000791,0.000791,0.000791
