epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.184,1.81038,1.91498,1.0896,0.27261,0.24645,0.15917,0.07559,1.76527,2.28693,1.08698,0.0670623,0.000332704,0.000332704
2,317.388,1.52012,1.42397,0.99634,0.37964,0.34045,0.26854,0.15397,1.44273,1.89062,1.00628,0.0340616,0.000665413,0.000665413
3,472.472,1.46758,1.26216,0.9796,0.37401,0.35973,0.29989,0.1729,1.4201,1.5691,1.00371,0.00105852,0.000995628,0.000995628
4,618.234,1.44434,1.17733,0.97505,0.47217,0.4436,0.40879,0.24334,1.38716,1.31794,0.98796,0.000991586,0.000991586,0.000991586
5,766.023,1.42306,1.1093,0.96846,0.46648,0.38136,0.34992,0.20535,1.4206,1.58349,0.99494,0.000985077,0.000985077,0.000985077
6,940.318,1.40373,1.07205,0.9632,0.45895,0.42851,0.41806,0.24863,1.40394,1.28543,0.99563,0.000976752,0.000976752,0.000976752
7,1085.21,1.39726,1.04326,0.96101,0.48678,0.43568,0.44456,0.26802,1.38382,1.23576,0.98657,0.000966644,0.000966644,0.000966644
8,1253.83,1.39443,1.01908,0.96196,0.4757,0.49683,0.4677,0.27519,1.41719,1.15481,1.00295,0.000954793,0.000954793,0.000954793
9,1396.36,1.38862,1.00882,0.96064,0.52152,0.48509,0.47125,0.28525,1.35711,1.16835,0.98417,0.000941246,0.000941246,0.000941246
10,1547.28,1.37504,0.9845,0.9564,0.55896,0.4795,0.4809,0.29103,1.35858,1.14028,0.98231,0.000926056,0.000926056,0.000926056
11,1688.47,1.37704,0.98126,0.95595,0.55095,0.48043,0.47885,0.28724,1.3678,1.16451,0.98589,0.000909283,0.000909283,0.000909283
12,1827.02,1.36813,0.97211,0.95608,0.57544,0.46912,0.47761,0.29034,1.34157,1.1423,0.97204,0.000890994,0.000890994,0.000890994
13,1969.25,1.3593,0.95314,0.95303,0.60371,0.49853,0.50857,0.30987,1.36442,1.08123,0.98457,0.00087126,0.00087126,0.00087126
14,2113.46,1.35916,0.94952,0.95465,0.51305,0.51326,0.50796,0.31254,1.32012,1.08308,0.96711,0.00085016,0.00085016,0.00085016
15,2257.93,1.35583,0.93478,0.94999,0.54215,0.52504,0.52989,0.31999,1.35406,1.04819,0.98039,0.000827776,0.000827776,0.000827776
16,2401.7,1.35087,0.93266,0.95089,0.60408,0.50864,0.52657,0.32239,1.32807,1.01453,0.97545,0.000804198,0.000804198,0.000804198
17,2546.15,1.34547,0.91639,0.95113,0.62887,0.50914,0.52117,0.32114,1.33304,1.05262,0.97396,0.000779518,0.000779518,0.000779518
18,2686.58,1.34495,0.91181,0.94884,0.58948,0.51532,0.5246,0.32209,1.33919,1.01493,0.98018,0.000753833,0.000753833,0.000753833
19,2824.28,1.34178,0.90997,0.94785,0.6209,0.52711,0.52809,0.32684,1.31573,1.00163,0.97288,0.000727245,0.000727245,0.000727245
20,2960.89,1.33775,0.9038,0.94875,0.65875,0.5124,0.53981,0.33548,1.30748,0.98971,0.97099,0.000699859,0.000699859,0.000699859
21,3097.45,1.33476,0.90133,0.9473,0.59963,0.51672,0.54137,0.33579,1.30624,0.98962,0.97079,0.000671783,0.000671783,0.000671783
22,3270.65,1.3337,0.89014,0.94568,0.63322,0.53962,0.53538,0.32991,1.31488,1.02532,0.97122,0.000643128,0.000643128,0.000643128
23,3418.46,1.3263,0.8862,0.9445,0.55778,0.5534,0.5491,0.33896,1.30887,0.98403,0.96766,0.000614006,0.000614006,0.000614006
24,3573.5,1.32944,0.87312,0.94496,0.60316,0.53011,0.53907,0.33497,1.3063,0.97122,0.96885,0.000584533,0.000584533,0.000584533
25,3721.78,1.32961,0.87542,0.94418,0.61457,0.53898,0.55282,0.34145,1.30919,0.96405,0.96956,0.000554825,0.000554825,0.000554825
26,3882.21,1.32416,0.86607,0.94278,0.5524,0.56146,0.55253,0.34412,1.30187,0.96817,0.96595,0.000525,0.000525,0.000525
27,4027.72,1.32165,0.86229,0.94186,0.61039,0.5593,0.55892,0.34696,1.29588,0.95046,0.96508,0.000495175,0.000495175,0.000495175
28,4166.92,1.31716,0.85866,0.94244,0.61009,0.55531,0.55816,0.34746,1.30233,0.95791,0.97111,0.000465467,0.000465467,0.000465467
29,4307.37,1.31166,0.86032,0.93975,0.56627,0.54662,0.56392,0.3493,1.29902,0.95296,0.96448,0.000435994,0.000435994,0.000435994
30,4448.68,1.3131,0.85538,0.93961,0.66314,0.53484,0.55656,0.34614,1.29535,0.95354,0.96388,0.000406872,0.000406872,0.000406872
31,4609.62,1.30819,0.84373,0.94017,0.6291,0.54727,0.56216,0.3508,1.29278,0.94693,0.96422,0.000378217,0.000378217,0.000378217
32,4757.45,1.31536,0.846,0.94018,0.66629,0.5314,0.55653,0.34702,1.29227,0.9399,0.9626,0.000350141,0.000350141,0.000350141
33,4909.89,1.30242,0.84113,0.9396,0.65994,0.53997,0.55492,0.3448,1.29648,0.94144,0.96587,0.000322755,0.000322755,0.000322755
34,5051.49,1.30856,0.83855,0.93949,0.62352,0.56344,0.56441,0.35223,1.29126,0.92964,0.96322,0.000296167,0.000296167,0.000296167
35,5194.46,1.30761,0.83731,0.94144,0.58705,0.56499,0.57289,0.35803,1.28963,0.92978,0.96369,0.000270482,0.000270482,0.000270482
36,5340.17,1.30068,0.83033,0.93847,0.61216,0.5675,0.5671,0.35472,1.28812,0.92983,0.96285,0.000245802,0.000245802,0.000245802
37,5492.24,1.30241,0.82716,0.93745,0.62195,0.5553,0.5679,0.35522,1.28906,0.92726,0.96443,0.000222224,0.000222224,0.000222224
38,5636.3,1.2993,0.82562,0.93777,0.58452,0.54503,0.56374,0.35094,1.2984,0.93457,0.9681,0.00019984,0.00019984,0.00019984
39,5798.26,1.29828,0.82193,0.93612,0.57569,0.55148,0.5635,0.35339,1.28976,0.92393,0.96272,0.00017874,0.00017874,0.00017874
40,5936.93,1.29886,0.81921,0.93745,0.59331,0.53562,0.56795,0.35622,1.28917,0.92325,0.96337,0.000159006,0.000159006,0.000159006
41,6083.07,1.28185,0.80528,0.95483,0.58391,0.54461,0.56242,0.352,1.29113,0.93812,0.96413,0.000140717,0.000140717,0.000140717
