epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.452,2.42066,3.00844,1.37036,0.27475,0.25316,0.16899,0.08546,1.68328,2.12426,1.06416,0.000118775,0.000118775,0.000118775
2,312.9,1.62526,1.49971,1.02165,0.3952,0.35086,0.27635,0.16044,1.44393,1.62926,1.00697,0.000222082,0.000222082,0.000222082
3,468.334,1.46846,1.24359,0.98156,0.43764,0.40545,0.37088,0.21956,1.39368,1.33118,0.99456,0.000309681,0.000309681,0.000309681
4,616.972,1.43255,1.13095,0.97292,0.49784,0.45865,0.43265,0.26165,1.37169,1.21345,0.98752,0.000286314,0.000286314,0.000286314
5,764.576,1.40545,1.04295,0.9645,0.58352,0.4802,0.46436,0.28234,1.35295,1.16362,0.98186,0.000262752,0.000262752,0.000262752
6,919.525,1.3739,0.98568,0.98109,0.60367,0.49163,0.48494,0.29518,1.35205,1.11216,0.98264,0.00023919,0.00023919,0.00023919
7,1062.96,1.35391,0.94613,0.97701,0.56868,0.50587,0.50029,0.30551,1.34014,1.08137,0.98212,0.000215628,0.000215628,0.000215628
8,1200.4,1.34575,0.91899,0.97206,0.57463,0.4988,0.51239,0.31511,1.33527,1.05339,0.97847,0.000192066,0.000192066,0.000192066
9,1339.12,1.3388,0.89939,0.9699,0.57802,0.50999,0.51332,0.31648,1.33213,1.0444,0.97919,0.000168504,0.000168504,0.000168504
10,1476.9,1.33014,0.88426,0.96814,0.58248,0.52446,0.51849,0.32161,1.32276,1.01934,0.97582,0.000144942,0.000144942,0.000144942
11,1655.64,1.32485,0.87488,0.96808,0.59878,0.50268,0.51894,0.32077,1.3255,1.02034,0.97593,0.00012138,0.00012138,0.00012138
12,1793.07,1.31641,0.86752,0.9661,0.58408,0.5233,0.52575,0.32601,1.31959,1.01207,0.97479,9.7818e-05,9.7818e-05,9.7818e-05
13,1931,1.3148,0.8575,0.96593,0.60878,0.49598,0.52658,0.32647,1.31714,1.00167,0.97438,7.4256e-05,7.4256e-05,7.4256e-05
14,2069.11,1.31107,0.85334,0.96112,0.58808,0.52006,0.53108,0.32923,1.31428,0.99453,0.97309,5.0694e-05,5.0694e-05,5.0694e-05
15,2207.54,1.30783,0.84938,0.96209,0.59965,0.51579,0.53133,0.32985,1.31383,0.99302,0.97251,2.7132e-05,2.7132e-05,2.7132e-05
