epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.647,1.38828,1.02509,0.96393,0.47939,0.41852,0.37915,0.21886,1.47196,1.61031,1.03563,0.0667628,3.32704e-05,3.32704e-05
2,279.772,1.35409,0.95269,0.9548,0.48221,0.49367,0.50418,0.3075,1.3395,1.0772,0.97917,0.0334621,6.58545e-05,6.58545e-05
3,424.818,1.33639,0.91426,0.94715,0.57004,0.53761,0.53397,0.33024,1.31849,0.9923,0.97345,0.000160582,9.76885e-05,9.76885e-05
4,560.562,1.33331,0.8976,0.94668,0.56399,0.53198,0.53755,0.33354,1.31331,0.99904,0.97209,9.6625e-05,9.6625e-05,9.6625e-05
5,695.257,1.32834,0.87926,0.94485,0.5884,0.54689,0.53774,0.33334,1.31601,0.99737,0.97131,9.55e-05,9.55e-05,9.55e-05
6,841.345,1.32404,0.88015,0.94323,0.60646,0.52528,0.53725,0.33241,1.31408,0.99036,0.97103,9.4375e-05,9.4375e-05,9.4375e-05
7,977.665,1.32376,0.87292,0.94299,0.55943,0.53332,0.54439,0.33986,1.31011,0.98241,0.96793,9.325e-05,9.325e-05,9.325e-05
8,1134.1,1.32716,0.86633,0.94601,0.5283,0.54962,0.54168,0.33683,1.31176,0.97978,0.97321,9.2125e-05,9.2125e-05,9.2125e-05
9,1275.23,1.32497,0.86981,0.94502,0.61087,0.51569,0.54381,0.33947,1.30718,0.97771,0.96856,9.1e-05,9.1e-05,9.1e-05
10,1418.77,1.31894,0.86277,0.9426,0.59818,0.52921,0.54473,0.34021,1.3078,0.9731,0.97049,8.9875e-05,8.9875e-05,8.9875e-05
11,1558.42,1.32122,0.8602,0.94305,0.61665,0.52532,0.54577,0.33839,1.31109,0.98447,0.96932,8.875e-05,8.875e-05,8.875e-05
12,1694.25,1.31465,0.85893,0.94354,0.59315,0.5441,0.55135,0.3432,1.31096,0.96545,0.97081,8.7625e-05,8.7625e-05,8.7625e-05
13,1827.82,1.31332,0.85255,0.94218,0.61725,0.53847,0.55239,0.34455,1.30527,0.96529,0.96852,8.65e-05,8.65e-05,8.65e-05
14,1962.84,1.31443,0.85588,0.94394,0.60635,0.54379,0.55407,0.34448,1.30849,0.96797,0.97047,8.5375e-05,8.5375e-05,8.5375e-05
15,2097.94,1.31356,0.8485,0.94062,0.60828,0.55682,0.55657,0.34565,1.30201,0.96369,0.96881,8.425e-05,8.425e-05,8.425e-05
16,2233.19,1.31199,0.85022,0.942,0.5999,0.55001,0.55424,0.34449,1.30554,0.96143,0.97063,8.3125e-05,8.3125e-05,8.3125e-05
17,2367.31,1.30893,0.84182,0.94316,0.61367,0.52148,0.55255,0.34549,1.30337,0.95668,0.9673,8.2e-05,8.2e-05,8.2e-05
18,2504.04,1.30903,0.84228,0.93988,0.61711,0.52752,0.55228,0.34461,1.30463,0.96263,0.97033,8.0875e-05,8.0875e-05,8.0875e-05
19,2642.76,1.30929,0.84349,0.94029,0.61436,0.53392,0.55226,0.34549,1.30462,0.95887,0.97011,7.975e-05,7.975e-05,7.975e-05
20,2778.67,1.30692,0.84441,0.94185,0.64418,0.51824,0.55783,0.34826,1.30275,0.95277,0.96911,7.8625e-05,7.8625e-05,7.8625e-05
21,2912.11,1.30484,0.84349,0.94039,0.59584,0.55351,0.55594,0.34695,1.30048,0.94959,0.96938,7.75e-05,7.75e-05,7.75e-05
22,3078.86,1.30598,0.83862,0.94,0.62214,0.52269,0.5553,0.34596,1.30028,0.95508,0.96952,7.6375e-05,7.6375e-05,7.6375e-05
23,3219.23,1.30121,0.83461,0.93932,0.60382,0.54857,0.55905,0.34906,1.29996,0.95197,0.96805,7.525e-05,7.525e-05,7.525e-05
