epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.916,1.71951,2.12298,1.07036,0.51298,0.27238,0.25811,0.13989,1.55344,1.83145,1.038,0.0670052,0.000333281,0.000333281
2,878.425,1.62006,1.81919,1.0472,0.4815,0.34016,0.29359,0.1613,1.50347,1.72506,1.0378,0.0340051,0.000666501,0.000666501
3,1382.84,1.58489,1.70039,1.04094,0.37107,0.38638,0.33309,0.18666,1.48296,1.60733,1.025,0.00100452,0.000999269,0.000999269
4,1827.09,1.55997,1.63396,1.03432,0.46476,0.37594,0.34275,0.19326,1.46679,1.51747,1.02546,0.000998474,0.000998474,0.000998474
5,2269.2,1.54026,1.59019,1.02747,0.52961,0.37404,0.3643,0.20335,1.48514,1.54112,1.03931,0.000997288,0.000997288,0.000997288
6,2686.15,1.52249,1.53027,1.02213,0.5441,0.41067,0.38449,0.22065,1.42744,1.43823,1.01742,0.000995765,0.000995765,0.000995765
7,3108.05,1.51293,1.50889,1.01799,0.44614,0.43538,0.38575,0.21847,1.42746,1.4512,1.02344,0.000993906,0.000993906,0.000993906
8,3530.48,1.49044,1.47118,1.01106,0.44929,0.46098,0.40962,0.23571,1.4187,1.3967,1.01781,0.000991711,0.000991711,0.000991711
9,3956.36,1.47894,1.44776,1.00756,0.51595,0.45018,0.40637,0.23859,1.39593,1.39269,1.0106,0.000989183,0.000989183,0.000989183
10,4382.59,1.47226,1.43666,1.00768,0.4988,0.44018,0.41317,0.23792,1.43555,1.37247,1.02058,0.000986323,0.000986323,0.000986323
11,4813.3,1.47066,1.40212,1.00406,0.54128,0.43198,0.42484,0.24859,1.38378,1.33268,1.00825,0.000983133,0.000983133,0.000983133
12,5223.08,1.46509,1.38382,1.00473,0.55581,0.46628,0.44612,0.26186,1.3802,1.28969,1.00187,0.000979616,0.000979616,0.000979616
13,5633.49,1.4567,1.37669,1.00212,0.6043,0.45472,0.4438,0.26141,1.38637,1.3097,1.0127,0.000975773,0.000975773,0.000975773
14,6049.29,1.44848,1.36975,0.99932,0.59437,0.47043,0.45258,0.26788,1.37399,1.2904,0.99978,0.000971608,0.000971608,0.000971608
15,6457.91,1.44663,1.34023,0.99662,0.56769,0.45296,0.44603,0.26512,1.3751,1.27583,1.00705,0.000967122,0.000967122,0.000967122
16,6865.36,1.44057,1.33507,0.99847,0.57514,0.47571,0.46375,0.27798,1.3723,1.25337,1.00149,0.00096232,0.00096232,0.00096232
17,7274.24,1.43656,1.3151,0.99504,0.57767,0.46073,0.45996,0.27497,1.36153,1.24074,1.00246,0.000957205,0.000957205,0.000957205
18,7682.43,1.43495,1.3183,0.99263,0.56316,0.47695,0.46039,0.27427,1.37557,1.23675,0.99801,0.00095178,0.00095178,0.00095178
19,8090.85,1.43398,1.31006,0.99477,0.58208,0.46191,0.46594,0.2787,1.3579,1.22507,1.00179,0.000946048,0.000946048,0.000946048
20,8500.11,1.42787,1.29093,0.99665,0.58353,0.47675,0.48118,0.28831,1.36074,1.20263,1.00187,0.000940014,0.000940014,0.000940014
21,8908.55,1.42283,1.28412,0.99074,0.58946,0.47812,0.47601,0.28769,1.3523,1.19336,0.99632,0.000933683,0.000933683,0.000933683
22,9317.2,1.4155,1.26106,0.98931,0.60281,0.47181,0.48129,0.29128,1.34659,1.20371,0.99224,0.000927057,0.000927057,0.000927057
23,9727.3,1.41315,1.25626,0.98624,0.61479,0.4809,0.48847,0.29525,1.3421,1.17367,0.99362,0.000920142,0.000920142,0.000920142
24,10135.2,1.41383,1.27076,0.98809,0.59689,0.48028,0.48286,0.28921,1.34599,1.17122,0.99566,0.000912942,0.000912942,0.000912942
25,10543.7,1.41465,1.24472,0.98833,0.61028,0.47621,0.49656,0.30111,1.3414,1.1551,0.99182,0.000905463,0.000905463,0.000905463
26,10951.5,1.41298,1.24388,0.98853,0.61865,0.48855,0.49882,0.30249,1.33713,1.15329,0.99357,0.00089771,0.00089771,0.00089771
27,11360.1,1.40567,1.23638,0.983,0.59683,0.4962,0.49554,0.29855,1.33821,1.1496,0.99036,0.000889687,0.000889687,0.000889687
28,11768.3,1.40462,1.23038,0.98364,0.61033,0.48005,0.50305,0.30297,1.34714,1.13619,0.99462,0.000881401,0.000881401,0.000881401
29,12177.3,1.40138,1.21582,0.98223,0.6015,0.49969,0.50309,0.30509,1.3423,1.14519,0.98968,0.000872857,0.000872857,0.000872857
30,12587.1,1.39767,1.22734,0.98076,0.61901,0.48636,0.51138,0.30785,1.33082,1.12766,0.98884,0.00086406,0.00086406,0.00086406
31,12995.9,1.39683,1.20441,0.98066,0.60737,0.50271,0.50528,0.30688,1.32596,1.12683,0.98436,0.000855018,0.000855018,0.000855018
32,13406,1.39719,1.2016,0.98207,0.61166,0.50173,0.50661,0.30779,1.32074,1.11303,0.98409,0.000845736,0.000845736,0.000845736
